Normal Patient Waiting Time,Normal Patient Server Time,Normal patientt service time
0,12.521172893866122,12.521172893866122
4.9566172946381135,19.59324281677864,14.636625522140527
Reneged,Reneged,Reneged
12.22071322192321,22.61692280569629,10.396209583773077
11.563605905474873,26.071958480619514,14.508352575144642
Reneged,Reneged,Reneged
11.264995658425832,17.393928461005437,6.128932802579603
Reneged,Reneged,Reneged
14.578685019118588,25.617883655420272,11.039198636301688
22.754907622454198,41.34466605850987,18.589758436055675
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
24.02845294310076,30.96002970755059,6.931576764449832
24.07141457503127,40.01585339597953,15.944438820948267
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
8.190198941170948,16.910542459814664,8.720343518643716
13.26640117646005,29.93315842391881,16.666757247458758
Reneged,Reneged,Reneged
23.049167733265534,32.22066087623992,9.171493142974391
Reneged,Reneged,Reneged
29.01748393139414,40.23360214116224,11.216118209768108
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
22.644787668296516,39.65937115363954,17.014583485343024
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
20.63206421297906,41.881573602507956,21.249509389528896
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
18.086358354739446,26.11604260349327,8.029684248753817
Reneged,Reneged,Reneged
19.368299214246775,31.987219570722885,12.6189203564761
20.11024260584412,33.745199863850644,13.634957258006512
29.14770385372765,36.0997169200549,6.95201306632725
31.896558867521208,44.87353873192157,12.976979864400349
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
21.445573158746043,35.300400015779104,13.854826857033085
23.489905489073948,40.14472224492201,16.65481675584808
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
9.681221441411992,18.56707926668531,8.885857825273327
18.094702033825342,28.584749012843645,10.490046979018324
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
1.4526920566123636,15.04528749720464,13.592595440592268
Reneged,Reneged,Reneged
6.441729939665208,13.674653762232253,7.232923822567035
13.057189190726262,27.117012574028024,14.059823383301786
24.543518912703462,36.28421450222345,11.740695589519985
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
12.483192578524324,26.103161738405163,13.619969159880814
22.87930241809994,42.64480719405532,19.765504775955367
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
28.137272801044503,39.671059605869004,11.533786804824485
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
11.873748510079963,23.969774524753916,12.096026014673935
15.754728772962267,29.944706030191867,14.189977257229591
Reneged,Reneged,Reneged
26.12940230381639,0,11.131296845485895
Next Day,Next Day
0,13.568218034055915,13.568218034055915
11.189165424100764,27.65840301009148,16.46923758599071
25.420888645275735,33.88326953210968,8.462380886833937
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
15.556165636584957,27.748875694135783,12.192710057550824
Reneged,Reneged,Reneged
11.13043126023679,23.78942187818965,12.65899061795286
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
10.973600453944137,21.309576475508564,10.335976021564422
12.57205923810833,24.840779407145952,12.268720169037625
Reneged,Reneged,Reneged
15.157683833415902,30.790660747345044,15.632976913929143
24.383665066740903,41.43509770955849,17.051432642817584
Reneged,Reneged,Reneged
37.15227466140912,52.29869304542555,15.146418384016421
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
33.770580395326704,44.64190109713559,10.871320701808873
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
32.83836570516276,43.77704996279614,10.938684257633396
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
37.005185072785295,50.300326879862226,13.295141807076929
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
29.441177359043564,41.079767197764426,11.638589838720854
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
24.77657232976216,39.35811746522734,14.581545135465186
Reneged,Reneged,Reneged
21.342520929832148,32.04633805071239,10.703817120880256
Reneged,Reneged,Reneged
27.705576909799447,39.96362840596811,12.25805149616865
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
24.187953839008458,33.46530981434432,9.277355975335855
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
16.10970931622947,30.71148902299464,14.601779706765162
Reneged,Reneged,Reneged
28.244951095857488,44.17790923974235,15.932958143884852
37.02201479712846,48.64323439076031,11.62121959363183
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
36.94019681614759,49.33214568044201,12.391948864294404
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
36.62916607014628,48.278212567031204,11.649046496884903
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
27.58608500333503,44.33607798462532,16.749992981290283
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
12.820457559154647,30.346399411943082,17.52594185278843
26.53397717853403,41.832125567490664,15.298148388956637
Reneged,Reneged,Reneged
30.532698348790063,45.02773946623489,14.495041117444801
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
20.124693235533016,36.361778010055616,16.237084774522607
Reneged,Reneged,Reneged
12.100266629810278,18.891580157983412,6.791313528173129
18.68444579165231,29.11591846731011,10.431472675657785
28.850254605651628,44.9591149547191,16.10886034906744
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
19.968504340423124,22.50661158738353,2.538107246960399
7.7790971892735,0,13.205379946420043
Next Day,Next Day
0,11.99457796783357,11.99457796783357
6.703513013428713,18.053568118659776,11.350055105231062
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
14.396885089946766,26.25734057243416,11.860455482487392
18.89700915336337,30.928127682136754,12.031118528773382
25.481307248312174,38.949683218099565,13.468375969787393
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
0.0,15.105980614628734,15.105980614628733
14.0198561855875,30.14643049750326,16.12657431191576
27.66961061034027,42.62594518243408,14.956334572093809
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
26.29462603956975,33.893210623580885,7.598584584011132
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
23.50107219840443,39.499442541854776,15.998370343450343
22.776884655577646,35.32110684583779,12.544222190260136
Reneged,Reneged,Reneged
24.945381848767497,35.711038016742535,10.765656167975028
Reneged,Reneged,Reneged
30.434511456597576,38.747563055964335,8.31305159936677
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
22.947365362977138,39.203608028059335,16.256242665082212
Reneged,Reneged,Reneged
28.45715551144363,51.37991142370018,22.922755912256562
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
35.28124566812767,47.45675279406427,12.175507125936614
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
33.42604122058512,42.36636757373958,8.940326353154461
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
32.84029250425766,47.4755469483284,14.635254444070732
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
21.662315110408827,32.92186934703574,11.259554236626911
Reneged,Reneged,Reneged
23.148597292589244,32.10244066799868,8.95384337540943
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
12.324258621012035,26.108314515367255,13.784055894355202
Reneged,Reneged,Reneged
21.555871966212948,27.444308418041686,5.888436451828744
Reneged,Reneged,Reneged
17.204527983921196,27.29884946505979,10.094321481138621
19.78276454179445,36.50907453118083,16.726309989386387
32.78270694466522,45.6429554973563,12.860248552691086
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
17.703546908259852,22.44076688720878,4.7372199789489065
Reneged,Reneged,Reneged
18.105204394390796,26.229362352188275,8.124157957797495
Reneged,Reneged,Reneged
24.03845786592484,33.212064872400276,9.173607006475445
Reneged,Reneged,Reneged
28.967972274263218,39.91045478672032,10.942482512457078
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
29.443067726910442,32.65528120885659,3.2122134819461223
Reneged,Reneged,Reneged
23.91979897019951,33.95876454327822,10.03896557307874
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
16.357222869439454,30.472084018753947,14.114861149314468
29.84753016578395,44.506408793005676,14.658878627221748
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
11.753127415117035,22.390245364116424,10.637117948999407
Reneged,Reneged,Reneged
7.465504963320313,13.704425917328933,6.238920954008603
13.005205966323444,20.55373028286442,7.548524316540962
15.217888819519032,0,18.555228150789482
0,0,0
0,0,0
Next Day,Next Day
0,16.976876593840622,16.976876593840622
12.459235905724963,22.618537636195576,10.159301730470613
21.85295183634313,34.13962315881588,12.286671322472744
Reneged,Reneged,Reneged
28.7106521076501,34.607616685442295,5.896964577792195
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
16.092110809460795,22.385154618904973,6.2930438094441765
14.096007212363709,26.59131653608698,12.495309323723268
22.008215495299645,36.62065005808612,14.612434562786483
20.377511210504423,27.227204831449825,6.849693620945403
20.97951698575946,32.25842525601581,11.278908270256354
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
26.30607500149631,37.707708888906964,11.40163388741065
Reneged,Reneged,Reneged
19.275882037885296,40.81355264752591,21.537670609640617
Reneged,Reneged,Reneged
12.615220031921496,29.352578021959772,16.737357990038284
23.266118491054357,29.497221868515823,6.231103377461476
23.612303647887046,42.344786916213025,18.73248326832599
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
28.13203050382546,41.6056412418516,13.47361073802615
Reneged,Reneged,Reneged
37.10410363138001,47.61499843051007,10.510894799130062
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
34.290170419828826,48.743768356327195,14.453597936498376
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
14.733858270780473,22.00951205440819,7.275653783627707
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
